col1,col2,col3,label
,0.0729999989271164,86.0,0
1.0,,96.0,0
0.0,,65.0,0
,0.05299999937415123,48.0,0
,0.007000000216066837,68.0,0
1.0,0.09478571265935898,55.0,0
,0.09478571265935898,10.0,0
,0.09478571265935898,105.0,1
,0.0,3164.0,0
,,97.0,0
,0.029999999329447746,0.0,0
,0.07716666907072067,93.0,0
,0.07716666907072067,284.0,0
,0.07716666907072067,376.0,0
,,0.0,0
,0.09399999678134918,152.0,0
,0.04094737023115158,26.0,0
1.0,0.04094737023115158,,0
0.0,0.06666666269302368,104.0,0
,0.02133333310484886,70.0,0
,0.060499999672174454,418.0,0
,0.03449999913573265,,0
,0.039000000804662704,5640.0,0
,,115.0,0
,,115.0,0
,,204.0,0
,0.09028571844100952,119.0,0
1.0,,22.0,0
1.0,,0.0,0
,0.04800000041723251,0.0,0
,,56.0,0
,,72.0,0
,0.14300000667572021,279.0,0
,,374.0,0
0.0,,82.0,0
,0.12200000137090683,8.0,0
,,0.0,0
,0.026000000536441803,41.0,0
,0.21400000154972076,534.0,0
0.0,,0.0,0
,0.014000000432133675,0.0,0
,,115.0,0
,0.04600000008940697,0.0,0
,,0.0,0
,0.041999999433755875,66.0,0
,,0.0,0
,,93.0,0
,,35.0,0
,0.029999999329447746,128605.0,0
,0.06300000101327896,125.0,0
,0.03799999877810478,10005.0,0
,,196.0,0
,,73.0,0
,,133.0,0
1.0,0.0,0.0,0
,0.05700000002980232,54.0,0
,0.09700000286102295,0.0,0
1.0,0.11599999666213989,1188.0,0
1.0,0.1379999965429306,5428.0,0
,,14.0,0
,0.04600000008940697,40.0,0
0.0,0.08900000154972076,45.0,0
1.0,0.0,30.0,0
,0.06499999761581421,120.0,0
,,0.0,0
,0.02199999988079071,0.0,0
,,0.0,0
,,0.0,0
,,5531.0,0
,,5531.0,0
1.0,0.13199999928474426,136.0,0
,0.014000000432133675,57.0,0
,,0.0,0
1.0,0.15600000321865082,795.0,0
,0.06300000101327896,7122.0,0
,0.028999999165534973,57.0,1
,,88.0,0
,,81.0,0
,0.03999999910593033,36.0,0
,,37.0,0
,,0.0,0
1.0,0.0689999982714653,27.0,0
,0.0430000014603138,77732.0,0
,,23.0,0
,0.05400000140070915,64.0,0
,,38.0,0
,0.04699999839067459,115.0,0
1.0,0.08500000089406967,275.0,0
,0.2199999988079071,96.0,1
,0.2770000100135803,95.0,0
1.0,,1400.0,1
,0.10599999874830246,757.0,0
,,18.0,0
,,18.0,0
,0.052000001072883606,14819.0,0
1.0,0.020999999716877937,0.0,0
1.0,0.020999999716877937,0.0,0
,0.013000000268220901,0.0,0
,0.013000000268220901,0.0,0
,,25.0,0
,,0.0,0
,,0.0,0
,0.11800000071525574,0.0,0
,,24.0,1
1.0,0.07100000232458115,29.0,0
,0.035999998450279236,33.0,0
1.0,,9.0,0
,0.07599999755620956,38.0,0
,0.07900000363588333,143.0,0
,,142.0,0
,,0.0,0
,0.054999999701976776,59.0,0
,0.05900000035762787,548.0,0
,0.041999999433755875,475.0,0
,,69.0,0
1.0,0.0560000017285347,94.0,0
1.0,0.0560000017285347,94.0,0
1.0,0.06800000369548798,46.0,0
,,0.0,0
1.0,0.11800000071525574,1186.0,0
,0.029999999329447746,73.0,0
1.0,0.0560000017285347,94.0,1
1.0,0.0560000017285347,94.0,1
0.0,,331.0,0
,0.08799999952316284,197.0,0
1.0,0.0560000017285347,94.0,0
1.0,0.0560000017285347,94.0,0
,0.0,30.0,0
,0.0,30.0,0
,,0.0,0
,0.07599999755620956,111.0,0
,0.05299999937415123,141.0,0
,,35.0,0
,0.2160000056028366,549.0,0
1.0,0.03099999949336052,386.0,0
,0.1679999977350235,390.0,0
,,6531.0,0
,,0.0,0
,0.029999999329447746,817.0,0
,0.004999999888241291,135.0,0
,0.0860000029206276,45.0,0
1.0,0.19699999690055847,74.0,0
,,47.0,0
,,0.0,0
,0.05299999937415123,59.0,0
,0.0949999988079071,137.0,0
,,0.0,0
1.0,,0.0,0
,0.0689999982714653,45.0,0
,0.00800000037997961,47.0,0
,,0.0,1
,,146.0,0
,,35.0,0
,,35.0,0
,0.04500000178813934,82.0,0
,,77.0,0
,,22.0,1
,,130.0,1
,0.06300000101327896,134.0,0
,,81635.0,0
,,149.0,0
,0.10999999940395355,78.0,0
,0.08900000154972076,1428.0,0
,0.1599999964237213,158.0,0
,0.014000000432133675,14.0,1
